50 1002
1 2 135
1 3 48
1 4 6
1 5 153
1 6 117
1 7 128
1 8 159
1 9 100
1 10 101
1 11 100
1 12 64
1 13 84
1 14 76
1 15 136
1 16 33
1 17 182
1 18 200
1 19 170
1 20 12
1 21 183
1 22 156
1 23 91
1 24 127
1 25 168
1 26 65
1 27 200
1 28 138
1 29 160
1 30 141
1 31 117
1 32 67
2 3 95
2 4 120
2 5 124
2 6 92
2 7 170
2 8 20
2 9 63
2 10 48
2 11 103
2 12 18
2 13 85
2 14 58
2 15 183
2 16 185
2 17 198
2 18 36
2 19 37
2 20 64
2 21 100
2 22 172
2 23 135
2 24 175
2 25 104
2 26 29
2 27 48
2 28 42
2 29 97
2 30 173
2 31 25
2 32 195
2 33 59
3 4 95
3 5 183
3 6 101
3 7 154
3 8 98
3 9 166
3 10 174
3 11 55
3 12 174
3 13 58
3 14 42
3 15 99
3 16 187
3 17 201
3 18 100
3 19 193
3 20 134
3 21 173
3 22 97
3 23 54
3 24 113
3 25 43
3 26 185
3 27 175
3 28 143
3 29 185
3 30 129
3 31 49
3 32 102
3 33 19
3 34 148
4 5 131
4 6 171
4 7 187
4 8 62
4 9 19
4 10 193
4 11 34
4 12 99
4 13 48
4 14 22
4 15 41
4 16 119
4 17 36
4 18 134
4 19 184
4 20 184
4 21 99
4 22 167
4 23 187
4 24 200
4 25 159
4 26 101
4 27 116
4 28 55
4 29 32
4 30 133
4 31 121
4 32 62
4 33 72
4 34 196
4 35 112
5 6 15
5 7 66
5 8 117
5 9 21
5 10 107
5 11 46
5 12 86
5 13 49
5 14 108
5 15 21
5 16 17
5 17 8
5 18 203
5 19 105
5 20 137
5 21 93
5 22 183
5 23 112
5 24 76
5 25 109
5 26 111
5 27 161
5 28 21
5 29 114
5 30 58
5 31 53
5 32 69
5 33 9
5 34 157
5 35 200
5 36 158
6 7 193
6 8 89
6 9 139
6 10 68
6 11 38
6 12 17
6 13 24
6 14 57
6 15 42
6 16 201
6 17 23
6 18 191
6 19 91
6 20 114
6 21 139
6 22 133
6 23 48
6 24 68
6 25 32
6 26 187
6 27 116
6 28 108
6 29 68
6 30 180
6 31 196
6 32 118
6 33 85
6 34 47
6 35 121
6 36 84
6 37 166
7 8 85
7 9 201
7 10 180
7 11 28
7 12 71
7 13 150
7 14 201
7 15 178
7 16 122
7 17 150
7 18 10
7 19 95
7 20 48
7 21 67
7 22 186
7 23 97
7 24 95
7 25 95
7 26 159
7 27 175
7 28 105
7 29 19
7 30 144
7 31 50
7 32 23
7 33 175
7 34 48
7 35 176
7 36 85
7 37 33
7 38 91
8 9 86
8 10 16
8 11 44
8 12 68
8 13 30
8 14 8
8 15 97
8 16 82
8 17 51
8 18 88
8 19 203
8 20 75
8 21 45
8 22 116
8 23 140
8 24 13
8 25 114
8 26 10
8 27 104
8 28 49
8 29 76
8 30 86
8 31 82
8 32 127
8 33 6
8 34 154
8 35 194
8 36 8
8 37 120
8 38 81
8 39 183
9 10 165
9 11 71
9 12 102
9 13 179
9 14 97
9 15 47
9 16 27
9 17 42
9 18 105
9 19 165
9 20 90
9 21 42
9 22 7
9 23 42
9 24 58
9 25 137
9 26 131
9 27 95
9 28 120
9 29 106
9 30 14
9 31 75
9 32 187
9 33 82
9 34 10
9 35 34
9 36 157
9 37 40
9 38 124
9 39 41
9 40 79
10 11 28
10 12 137
10 13 139
10 14 177
10 15 136
10 16 148
10 17 152
10 18 122
10 19 124
10 20 49
10 21 19
10 22 10
10 23 96
10 24 141
10 25 195
10 26 163
10 27 143
10 28 95
10 29 119
10 30 153
10 31 7
