200 3258
1 2 26
1 3 61
1 4 54
1 5 40
1 6 48
1 7 45
1 8 65
1 9 52
1 10 61
1 11 31
1 12 14
1 13 47
1 14 41
1 15 39
1 16 38
1 17 29
1 18 10
1 19 24
1 20 9
2 3 57
2 4 12
2 5 48
2 6 34
2 7 16
2 8 40
2 9 71
2 10 48
2 11 16
2 12 67
2 13 56
2 14 41
2 15 44
2 16 70
2 17 5
2 18 55
2 19 55
2 20 44
2 21 64
3 4 5
3 5 68
3 6 70
3 7 69
3 8 30
3 9 62
3 10 45
3 11 61
3 12 17
3 13 18
3 14 58
3 15 74
3 16 11
3 17 38
3 18 51
3 19 60
3 20 68
3 21 36
3 22 60
4 5 69
4 6 8
4 7 16
4 8 57
4 9 34
4 10 38
4 11 38
4 12 67
4 13 7
4 14 1
4 15 45
4 16 11
4 17 55
4 18 18
4 19 33
4 20 45
4 21 37
4 22 20
4 23 1
5 6 66
5 7 47
5 8 30
5 9 52
5 10 24
5 11 41
5 12 69
5 13 49
5 14 19
5 15 62
5 16 2
5 17 38
5 18 38
5 19 36
5 20 29
5 21 72
5 22 34
5 23 18
5 24 53
6 7 8
6 8 59
6 9 26
6 10 19
6 11 65
6 12 6
6 13 55
6 14 4
6 15 58
6 16 4
6 17 2
6 18 54
6 19 52
6 20 2
6 21 59
6 22 37
6 23 61
6 24 46
6 25 48
7 8 32
7 9 46
7 10 1
7 11 39
7 12 47
7 13 63
7 14 56
7 15 12
7 16 37
7 17 57
7 18 1
7 19 21
7 20 13
7 21 39
7 22 58
7 23 67
7 24 45
7 25 40
7 26 75
8 9 60
8 10 2
8 11 28
8 12 74
8 13 66
8 14 4
8 15 46
8 16 40
8 17 22
8 18 35
8 19 6
8 20 1
8 21 3
8 22 4
8 23 66
8 24 2
8 25 32
8 26 68
8 27 73
9 10 14
9 11 54
9 12 43
9 13 2
9 14 38
9 15 58
9 16 10
9 17 31
9 18 50
9 19 26
9 20 7
9 21 13
9 22 8
9 23 27
9 24 62
9 25 44
9 26 46
9 27 73
9 28 6
11 12 15
11 13 58
11 14 68
11 15 42
11 16 11
11 17 44
11 18 16
11 19 15
11 20 16
11 21 25
11 22 65
11 23 2
11 24 8
11 25 3
11 26 71
11 27 70
11 28 44
11 29 52
11 30 40
12 13 34
12 14 23
12 15 56
12 16 36
12 17 48
12 18 34
12 19 41
12 20 33
12 21 39
12 22 6
12 23 32
12 24 58
12 25 17
12 26 6
12 27 31
12 28 1
12 29 48
12 30 51
12 31 59
13 14 14
13 15 33
13 16 46
13 17 64
13 18 31
13 19 14
13 20 22
13 21 43
13 22 30
13 23 23
13 24 51
13 25 7
13 26 32
13 27 22
13 28 33
