300 7168
1 2 34
1 3 1
1 4 37
1 5 27
1 6 44
1 7 30
1 8 64
1 9 46
1 10 49
1 11 7
1 12 9
1 13 27
1 14 34
1 15 20
1 16 7
1 17 49
1 18 57
1 19 20
1 20 31
1 21 11
1 22 74
1 23 70
1 24 57
1 25 36
1 26 7
1 27 35
1 28 17
2 3 27
2 4 55
2 5 47
2 6 4
2 7 56
2 8 18
2 9 1
2 10 40
2 11 50
2 12 41
2 13 28
2 14 30
2 15 34
2 16 44
2 17 34
2 18 65
2 19 48
2 20 67
2 21 7
2 22 16
2 23 43
2 24 65
2 25 27
2 26 18
2 27 37
2 28 11
2 29 2
3 4 48
3 5 16
3 6 28
3 7 53
3 8 27
3 9 26
3 10 45
3 11 2
3 12 60
3 13 49
3 14 72
3 15 75
3 16 60
3 17 63
3 18 16
3 19 25
3 20 45
3 21 73
3 22 56
3 23 5
3 24 50
3 25 56
3 26 21
3 27 68
3 28 62
3 29 6
3 30 1
4 5 34
4 6 15
4 7 4
4 8 74
4 9 58
4 10 65
4 11 18
4 12 38
4 13 50
4 14 46
4 15 32
4 16 61
4 17 64
4 18 67
4 19 6
4 20 70
4 21 59
4 22 69
4 23 39
4 24 26
4 25 65
4 26 19
4 27 3
4 28 65
4 29 9
4 30 53
4 31 56
5 6 13
5 7 37
5 8 16
5 9 43
5 10 22
5 11 20
5 12 66
5 13 28
5 14 53
5 15 12
5 16 66
5 17 38
5 18 26
5 19 61
5 20 32
5 21 55
5 22 65
5 23 45
5 24 66
5 25 10
5 26 58
5 27 17
5 28 61
5 29 20
5 30 74
5 31 16
5 32 20
6 7 8
6 8 72
6 9 18
6 10 70
6 11 3
6 12 50
6 13 44
6 14 19
6 15 72
6 16 59
6 17 31
6 18 57
6 19 37
6 20 35
6 21 39
6 22 41
6 23 30
6 24 67
6 25 24
6 26 15
6 27 56
6 28 31
6 29 10
6 30 43
6 31 13
6 32 24
6 33 69
7 8 62
7 9 19
7 10 38
7 11 8
7 12 12
7 13 27
7 14 7
7 15 50
7 16 37
7 17 34
7 18 54
7 19 35
7 20 74
7 21 46
7 22 67
7 23 62
7 24 13
7 25 20
7 26 33
7 27 7
7 28 54
7 29 39
7 30 43
7 31 44
7 32 72
7 33 73
7 34 12
8 9 16
8 10 20
8 11 56
8 12 69
8 13 12
8 14 42
8 15 67
8 16 52
8 17 65
8 18 23
8 19 39
8 20 69
8 21 67
8 22 60
8 23 17
8 24 19
8 25 9
8 26 31
8 27 42
8 28 7
8 29 58
8 30 66
8 31 53
8 32 18
8 33 51
8 34 32
8 35 69
9 10 62
9 11 65
9 12 56
9 13 40
9 14 64
9 15 51
9 16 70
9 17 53
9 18 25
9 19 61
9 20 70
9 21 33
9 22 45
9 23 69
9 24 36
9 25 27
9 26 73
9 27 35
9 28 62
9 29 28
9 30 20
9 31 75
9 32 47
9 33 28
9 34 37
9 35 42
9 36 27
10 11 15
10 12 67
10 13 22
10 14 28
10 15 51
10 16 16
10 17 50
10 18 69
10 19 6
10 20 12
10 21 67
10 22 64
10 23 16
10 24 14
10 25 28
10 26 7
10 27 74
10 28 4
10 29 53
10 30 42
10 31 63
10 32 71
10 33 53
10 34 33
10 35 43
10 36 56
10 37 75
11 12 27
11 13 28
11 14 57
11 15 23
11 16 27
11 17 24
11 18 4
11 19 43
11 20 17
11 21 16
11 22 8
11 23 41
11 24 70
11 25 1
11 26 22
11 27 49
11 28 71
11 29 58
11 30 9
11 31 56
11 32 37
11 33 1
11 34 23
11 35 40
11 36 72
11 37 69
11 38 15
12 13 25
12 14 34
12 15 32
12 16 48
12 17 30
12 18 46
12 19 67
12 20 68
12 21 41
12 22 49
12 23 52
12 24 52
12 25 25
12 26 32
12 27 45
12 28 71
12 29 1
12 30 28
12 31 23
12 32 72
12 33 67
12 34 26
12 35 31
12 36 10
12 37 34
12 38 44
12 39 23
13 14 59
13 15 68
13 16 65
13 17 54
13 18 19
13 19 68
13 20 51
13 21 63
13 22 63
13 23 24
13 24 38
13 25 32
13 26 25
13 27 70
13 28 32
13 29 31
13 30 2
13 31 63
13 32 48
13 33 65
13 34 62
13 35 1
13 36 67
13 37 5
13 38 32
13 39 1
13 40 22
15 16 36
15 17 20
15 18 44
15 19 74
15 20 1
15 21 71
15 22 33
15 23 28
15 24 38
15 25 21
15 26 40
15 27 61
15 28 28
15 29 53
15 30 35
15 31 15
15 32 9
15 33 58
15 34 31
15 35 47
15 36 50
15 37 25
15 38 40
15 39 47
15 40 24
15 41 40
15 42 16
16 17 8
16 18 8
16 19 75
16 20 62
16 21 72
16 22 63
16 23 16
16 24 54
16 25 34
16 26 54
16 27 73
16 28 65
16 29 5
16 30 17
16 31 35
16 32 59
16 33 52
16 34 17
16 35 50
16 36 64
16 37 32
16 38 60
16 39 53
16 40 58
16 41 5
16 42 71
16 43 5
17 18 60
17 19 7
17 20 74
17 21 45
17 22 71
17 23 70
17 24 29
17 25 38
17 26 69
17 27 58
17 28 59
17 29 17
17 30 61
17 31 12
17 32 30
17 33 45
17 34 66
17 35 59
17 36 3
17 37 47
17 38 34
17 39 13
17 40 38
17 41 30
17 42 28
17 43 44
17 44 31
18 19 8
18 20 20
18 21 34
18 22 50
18 23 19
18 24 48
18 25 14
18 26 16
18 27 22
18 28 75
18 29 65
18 30 32
18 31 69
18 32 68
18 33 13
18 34 7
18 35 60
18 36 38
18 37 41
18 38 72
18 39 24
18 40 15
18 41 19
18 42 70
18 43 61
18 44 1
18 45 44
19 20 70
19 21 29
19 22 28
19 23 48
19 24 54
19 25 31
19 26 41
19 27 72
19 28 27
19 29 47
19 30 46
19 31 30
19 32 16
19 33 7
19 34 41
19 35 25
19 36 39
19 37 7
19 38 61
19 39 9
19 40 73
19 41 18
19 42 70
19 43 68
19 44 59
19 45 50
19 46 50
20 21 31
20 22 36
20 23 65
20 24 66
20 25 65
20 26 12
20 27 58
20 28 53
20 29 19
20 30 58
20 31 5
20 32 25
20 33 48
20 34 32
20 35 65
20 36 52
20 37 2
20 38 49
20 39 75
20 40 63
20 41 20
20 42 10
20 43 8
20 44 27
20 45 65
20 46 67
20 47 37
21 22 27
21 23 68
21 24 58
21 25 61
21 26 9
21 27 49
21 28 43
21 29 22
21 30 65
21 31 29
21 32 4
21 33 3
21 34 4
21 35 58
21 36 13
21 37 28
21 38 50
21 39 65
21 40 28
21 41 68
21 42 58
21 43 14
21 44 68
21 45 17
21 46 59
21 47 24
21 48 7
22 23 22
22 24 7
22 25 23
22 26 38
22 27 54
22 28 66
22 29 12
22 30 57
22 31 27
22 32 3
22 33 16
22 34 40
22 35 20
22 36 5
22 37 65
22 38 55
22 39 57
22 40 63
22 41 16
22 42 30
22 43 54
22 44 10
22 45 45
22 46 7
22 47 1
22 48 60
22 49 10
23 24 33
23 25 42
23 26 29
23 27 9
23 28 16
23 29 57
23 30 19
23 31 16
23 32 69
23 33 59
23 34 61
23 35 16
23 36 17
23 37 14
23 38 27
23 39 25
23 40 32
23 41 40
23 42 40
23 43 66
23 44 44
23 45 59
23 46 20
23 47 45
23 48 46
23 49 47
23 50 33
24 25 21
24 26 38
24 27 70
24 28 56
24 29 19
24 30 16
24 31 43
24 32 33
24 33 4
24 34 39
24 35 41
24 36 27
24 37 36
24 38 43
24 39 12
24 40 63
24 41 66
24 42 39
24 43 10
24 44 46
24 45 40
24 46 31
24 47 49
24 48 40
24 49 20
24 50 75
24 51 67
25 26 14
25 27 5
25 28 54
25 29 65
25 30 11
25 31 48
25 32 23
25 33 47
25 34 69
25 35 54
25 36 45
25 37 9
25 38 35
25 39 44
25 40 4
25 41 70
25 42 44
25 43 75
25 44 33
25 45 21
25 46 74
25 47 47
25 48 8
25 49 25
25 50 73
25 51 38
25 52 65
26 27 66
26 28 22
26 29 6
26 30 50
26 31 5
26 32 21
26 33 55
26 34 26
26 35 43
26 36 61
26 37 30
26 38 50
26 39 64
26 40 29
26 41 62
26 42 62
26 43 17
26 44 44
26 45 1
26 46 57
26 47 64
26 48 54
26 49 49
26 50 1
26 51 5
26 52 21
26 53 32
27 28 32
27 29 26
27 30 43
27 31 19
27 32 38
27 33 57
27 34 45
27 35 25
27 36 25
27 37 41
27 38 72
27 39 5
27 40 24
27 41 31
27 42 16
27 43 62
27 44 58
27 45 28
27 46 22
27 47 38
27 48 47
27 49 43
27 50 16
27 51 64
27 52 31
27 53 42
27 54 2
29 30 15
29 31 54
29 32 75
29 33 65
29 34 50
29 35 4
29 36 66
29 37 40
29 38 68
29 39 45
29 40 68
29 41 74
29 42 59
29 43 50
29 44 60
29 45 37
29 46 57
29 47 15
29 48 30
29 49 63
29 50 9
29 51 13
29 52 48
29 53 62
29 54 31
29 55 35
29 56 62
30 31 4
30 32 23
30 33 13
30 34 24
30 35 2
30 36 27
30 37 51
30 38 26
30 39 12
30 40 17
30 41 4
30 42 43
30 43 68
30 44 33
30 45 70
30 46 59
30 47 46
30 48 47
30 49 11
30 50 41
30 51 11
30 52 20
30 53 48
30 54 57
30 55 45
30 56 70
30 57 25
31 32 40
31 33 30
31 34 67
31 35 2
31 36 1
31 37 7
31 38 37
31 39 28
31 40 19
31 41 53
31 42 32
31 43 36
31 44 23
31 45 53
31 46 50
31 47 18
31 48 6
31 49 51
31 50 24
31 51 18
31 52 4
31 53 53
31 54 39
31 55 50
31 56 17
31 57 32
31 58 47
32 33 5
32 34 61
32 35 41
32 36 54
32 37 24
32 38 4
32 39 8
32 40 2
32 41 26
32 42 7
32 43 17
32 44 59
32 45 38
32 46 2
32 47 60
32 48 70
32 49 72
32 50 3
32 51 10
32 52 39
32 53 40
32 54 59
32 55 18
32 56 1
32 57 33
32 58 20
32 59 75
33 34 63
33 35 22
33 36 5
33 37 26
33 38 52
33 39 14
33 40 59
33 41 74
33 42 37
33 43 2
33 44 23
33 45 75
33 46 73
33 47 14
33 48 27
33 49 10
33 50 3
33 51 6
33 52 58
33 53 51
33 54 66
33 55 4
33 56 14
33 57 21
33 58 15
33 59 35
33 60 69
34 35 65
34 36 41
34 37 32
34 38 23
34 39 49
34 40 64
34 41 54
34 42 24
34 43 57
34 44 66
34 45 54
34 46 30
34 47 18
34 48 17
34 49 9
34 50 10
34 51 27
34 52 34
34 53 33
34 54 73
34 55 7
34 56 49
34 57 3
34 58 29
34 59 46
34 60 19
34 61 11
35 36 38
35 37 17
35 38 65
35 39 5
35 40 26
35 41 71
35 42 34
35 43 52
35 44 75
35 45 64
35 46 14
35 47 62
35 48 29
35 49 22
35 50 57
35 51 43
35 52 66
35 53 16
35 54 51
35 55 17
35 56 46
35 57 71
35 58 66
35 59 21
35 60 26
35 61 19
35 62 18
36 37 12
36 38 18
36 39 26
36 40 20
36 41 64
36 42 24
36 43 21
36 44 9
36 45 66
36 46 44
36 47 35
36 48 49
36 49 61
36 50 6
36 51 6
36 52 44
36 53 1
36 54 69
36 55 48
36 56 29
36 57 28
36 58 5
36 59 63
36 60 17
36 61 10
36 62 24
36 63 36
37 38 35
37 39 38
37 40 16
37 41 31
37 42 35
37 43 62
37 44 57
37 45 65
37 46 71
37 47 38
37 48 32
37 49 35
37 50 47
37 51 42
37 52 8
37 53 48
37 54 53
37 55 38
37 56 39
37 57 47
37 58 12
37 59 6
37 60 48
37 61 40
37 62 27
37 63 28
37 64 45
38 39 9
38 40 37
38 41 71
38 42 18
38 43 54
38 44 69
38 45 13
38 46 6
38 47 60
38 48 62
38 49 7
38 50 11
38 51 69
38 52 58
38 53 48
38 54 12
38 55 43
38 56 15
38 57 73
38 58 19
38 59 65
38 60 59
38 61 45
38 62 39
38 63 25
38 64 50
38 65 9
39 40 25
39 41 57
39 42 10
39 43 26
39 44 34
39 45 14
39 46 26
39 47 34
39 48 1
39 49 74
39 50 36
39 51 67
39 52 39
39 53 7
39 54 17
39 55 30
39 56 9
39 57 31
39 58 26
39 59 39
39 60 71
39 61 70
39 62 6
39 63 40
39 64 24
39 65 24
39 66 30
40 41 67
40 42 75
40 43 66
40 44 64
40 45 7
40 46 25
40 47 1
40 48 68
40 49 25
40 50 41
40 51 28
40 52 41
40 53 56
40 54 35
40 55 58
40 56 69
40 57 9
40 58 5
40 59 31
40 60 32
40 61 22
40 62 52
40 63 53
40 64 16
40 65 66
40 66 42
40 67 63
41 42 65
41 43 63
41 44 18
41 45 28
41 46 16
41 47 42
41 48 6
41 49 58
41 50 45
41 51 74
41 52 48
41 53 14
41 54 1
41 55 3
41 56 35
41 57 65
41 58 68
41 59 38
41 60 61
41 61 51
41 62 32
41 63 5
41 64 39
41 65 14
41 66 53
41 67 10
41 68 33
43 44 49
43 45 75
43 46 57
43 47 31
43 48 9
43 49 30
43 50 2
43 51 47
43 52 56
43 53 29
43 54 9
43 55 4
43 56 3
43 57 39
43 58 29
43 59 45
43 60 29
43 61 7
43 62 33
43 63 44
43 64 24
43 65 18
43 66 57
43 67 37
43 68 64
43 69 52
43 70 46
44 45 53
44 46 22
44 47 6
44 48 11
44 49 44
44 50 31
44 51 6
44 52 49
44 53 73
44 54 59
44 55 12
44 56 23
44 57 58
44 58 34
44 59 60
44 60 33
44 61 70
44 62 65
44 63 43
44 64 17
44 65 31
44 66 36
44 67 13
44 68 50
44 69 16
44 70 8
44 71 47
45 46 70
45 47 62
45 48 20
45 49 31
45 50 64
45 51 13
45 52 68
45 53 8
45 54 28
45 55 10
45 56 45
45 57 31
45 58 47
45 59 47
45 60 3
45 61 25
45 62 5
45 63 4
45 64 1
45 65 27
45 66 48
45 67 8
45 68 8
45 69 24
45 70 57
45 71 4
45 72 60
46 47 13
46 48 28
46 49 30
46 50 29
46 51 24
46 52 13
46 53 21
46 54 66
46 55 1
46 56 40
46 57 40
46 58 52
46 59 23
46 60 17
46 61 48
46 62 65
46 63 35
46 64 11
46 65 33
46 66 15
46 67 5
46 68 68
46 69 48
46 70 10
46 71 46
46 72 45
46 73 20
47 48 9
47 49 52
47 50 11
47 51 46
47 52 55
47 53 42
47 54 60
47 55 28
47 56 62
47 57 15
47 58 32
47 59 54
47 60 45
47 61 8
47 62 7
47 63 15
47 64 69
47 65 37
47 66 12
47 67 32
47 68 12
47 69 25
47 70 73
47 71 43
47 72 49
47 73 17
47 74 45
48 49 61
48 50 9
48 51 5
48 52 6
48 53 48
48 54 50
48 55 52
48 56 62
48 57 40
48 58 59
48 59 19
48 60 15
48 61 75
48 62 74
48 63 69
48 64 27
48 65 70
48 66 58
48 67 19
48 68 67
48 69 7
48 70 12
48 71 47
48 72 40
48 73 73
48 74 45
48 75 45
49 50 8
49 51 53
49 52 68
49 53 28
49 54 36
49 55 30
49 56 55
49 57 9
49 58 22
49 59 20
49 60 56
49 61 25
49 62 25
49 63 17
49 64 30
49 65 40
49 66 11
49 67 42
49 68 67
49 69 47
49 70 20
49 71 33
49 72 5
49 73 61
49 74 5
49 75 8
49 76 68
50 51 60
50 52 65
50 53 43
50 54 13
50 55 8
50 56 69
50 57 67
50 58 44
50 59 71
50 60 10
50 61 28
50 62 71
50 63 1
50 64 23
50 65 10
50 66 34
50 67 73
50 68 43
50 69 9
50 70 5
50 71 74
50 72 35
50 73 49
50 74 11
50 75 58
50 76 69
50 77 34
51 52 20
51 53 44
51 54 75
51 55 73
51 56 22
51 57 18
51 58 44
51 59 46
51 60 68
51 61 14
51 62 61
51 63 6
51 64 25
51 65 1
51 66 5
51 67 6
51 68 1
51 69 13
51 70 61
51 71 4
51 72 51
51 73 46
51 74 57
51 75 52
51 76 10
51 77 8
51 78 23
52 53 46
52 54 16
52 55 53
52 56 74
52 57 23
52 58 52
52 59 2
52 60 61
52 61 9
52 62 71
52 63 75
52 64 33
52 65 23
52 66 54
52 67 19
52 68 14
52 69 12
52 70 33
52 71 9
52 72 20
52 73 11
52 74 69
52 75 57
52 76 30
52 77 19
52 78 73
52 79 47
53 54 40
53 55 54
53 56 9
53 57 31
53 58 16
53 59 4
53 60 52
53 61 49
53 62 10
53 63 21
53 64 59
53 65 43
53 66 35
53 67 57
53 68 4
53 69 64
53 70 2
53 71 56
53 72 4
53 73 72
53 74 20
53 75 34
53 76 59
53 77 24
53 78 44
53 79 8
