200 10557
1 2 45
1 3 24
1 4 53
1 5 37
1 6 42
1 7 48
1 8 49
1 9 23
1 10 20
1 11 59
1 12 52
1 13 5
1 14 1
1 15 31
1 16 61
1 17 36
1 18 68
1 19 11
1 20 41
1 21 59
1 22 36
1 23 24
1 24 19
1 25 41
1 26 40
1 27 18
1 28 75
1 29 69
1 30 17
1 31 67
1 32 71
1 33 19
1 34 34
1 35 16
1 36 72
1 37 11
1 38 49
1 39 9
1 40 28
1 41 64
1 42 32
1 43 6
1 44 34
1 45 23
1 46 32
1 47 38
1 48 58
1 49 58
1 50 47
1 51 42
1 52 15
1 53 65
1 54 53
1 55 4
1 56 32
1 57 3
1 58 72
1 59 26
1 60 57
1 61 46
1 62 60
1 63 32
1 64 74
1 65 47
1 66 48
2 3 61
2 4 71
2 5 26
2 6 32
2 7 53
2 8 18
2 9 36
2 10 55
2 11 66
2 12 33
2 13 4
2 14 46
2 15 18
2 16 57
2 17 33
2 18 71
2 19 23
2 20 19
2 21 12
2 22 59
2 23 18
2 24 45
2 25 59
2 26 52
2 27 10
2 28 37
2 29 32
2 30 72
2 31 49
2 32 69
2 33 35
2 34 51
2 35 22
2 36 30
2 37 14
2 38 70
2 39 60
2 40 10
2 41 5
2 42 72
2 43 20
2 44 60
2 45 58
2 46 54
2 47 50
2 48 39
2 49 51
2 50 49
2 51 47
2 52 68
2 53 44
2 54 35
2 55 15
2 56 73
2 57 36
2 58 44
2 59 44
2 60 43
2 61 20
2 62 64
2 63 44
2 64 50
2 65 2
2 66 73
2 67 13
3 4 28
3 5 34
3 6 57
3 7 15
3 8 74
3 9 16
3 10 41
3 11 21
3 12 23
3 13 69
3 14 4
3 15 33
3 16 75
3 17 13
3 18 32
3 19 74
3 20 33
3 21 7
3 22 38
3 23 24
3 24 31
3 25 18
3 26 36
3 27 58
3 28 18
3 29 28
3 30 63
3 31 42
3 32 18
3 33 13
3 34 7
3 35 40
3 36 69
3 37 10
3 38 66
3 39 55
3 40 49
3 41 35
3 42 19
3 43 66
3 44 72
3 45 38
3 46 47
3 47 47
3 48 59
3 49 20
3 50 21
3 51 74
3 52 65
3 53 40
3 54 51
3 55 46
3 56 59
3 57 68
3 58 32
3 59 3
3 60 29
3 61 13
3 62 15
3 63 26
3 64 72
3 65 65
3 66 62
3 67 21
3 68 20
4 5 20
4 6 55
4 7 70
4 8 40
4 9 7
4 10 56
4 11 51
4 12 22
