35 162
1 9 67
1 10 60
1 11 26
1 12 71
1 13 47
1 14 38
1 15 7
1 16 31
2 10 79
2 11 23
2 12 49
2 13 56
2 14 41
2 15 36
2 16 10
2 17 68
3 11 58
3 12 67
3 13 63
3 14 21
3 15 35
3 16 50
3 17 36
3 18 21
4 12 66
4 13 54
4 14 41
4 15 12
4 16 60
4 17 78
4 18 72
4 19 37
5 13 76
5 14 43
5 15 40
5 16 19
5 17 40
5 18 77
5 19 76
5 20 42
6 14 52
6 15 22
6 16 19
6 17 49
6 18 38
6 19 65
6 20 29
6 21 17
7 15 68
7 16 23
7 17 24
7 18 23
7 19 67
7 20 16
7 21 30
7 22 6
9 17 55
9 18 9
9 19 74
9 20 78
9 21 25
9 22 74
9 23 48
9 24 7
10 18 13
10 19 50
10 20 78
10 21 9
10 22 31
10 23 65
10 24 56
10 25 30
11 19 55
11 20 10
11 21 68
11 22 17
11 23 7
11 24 71
11 25 21
11 26 20
12 20 77
12 21 73
12 22 18
12 23 31
12 24 71
12 25 59
12 26 31
12 27 13
13 21 40
13 22 71
13 23 13
13 24 60
13 25 47
13 26 75
13 27 24
13 28 60
14 22 36
14 23 39
14 24 40
14 25 63
14 26 73
14 27 46
14 28 56
14 29 62
15 23 36
15 24 9
15 25 28
15 26 44
15 27 66
15 28 51
15 29 64
15 30 56
17 25 43
17 26 66
17 27 48
17 28 70
17 29 70
17 30 50
17 31 25
17 32 49
18 26 35
18 27 77
18 28 53
18 29 37
18 30 61
18 31 18
18 32 71
18 33 68
19 27 6
19 28 39
19 29 74
19 30 51
19 31 67
19 32 26
19 33 64
19 34 16
20 28 26
20 29 10
20 30 19
20 31 58
20 32 33
20 33 65
20 34 48
20 35 75
21 29 11
21 30 5
21 31 56
21 32 55
21 33 8
21 34 16
21 35 16
22 30 7
22 31 13
22 32 37
22 33 47
22 34 40
22 35 59
23 31 76
23 32 8
23 33 6
23 34 16
23 35 59
35
