50 693
1 2 75
1 3 102
1 4 23
1 5 117
1 6 21
1 7 105
1 8 73
1 9 51
1 10 30
1 11 54
1 12 52
1 13 151
1 14 143
1 15 6
1 16 89
1 17 197
1 18 179
1 19 123
1 20 140
2 3 111
2 4 56
2 5 20
2 6 194
2 7 90
2 8 72
2 9 35
2 10 65
2 11 154
2 12 101
2 13 43
2 14 78
2 15 30
2 16 6
2 17 41
2 18 184
2 19 87
2 20 204
2 21 124
3 4 174
3 5 198
3 6 29
3 7 132
3 8 139
3 9 192
3 10 203
3 11 187
3 12 45
3 13 72
3 14 157
3 15 86
3 16 181
3 17 103
3 18 149
3 19 109
3 20 63
3 21 132
3 22 179
4 5 195
4 6 72
4 7 98
4 8 172
4 9 141
4 10 122
4 11 201
4 12 98
4 13 104
4 14 127
4 15 99
4 16 99
4 17 173
4 18 174
4 19 116
4 20 102
4 21 8
4 22 39
4 23 91
5 6 68
5 7 141
5 8 139
5 9 204
5 10 77
5 11 169
5 12 16
5 13 122
5 14 163
5 15 120
5 16 13
5 17 25
5 18 10
5 19 145
5 20 200
5 21 21
5 22 113
5 23 183
5 24 156
6 7 20
6 8 74
6 9 132
6 10 80
6 11 77
6 12 147
6 13 188
6 14 201
6 15 157
6 16 27
6 17 25
6 18 126
6 19 117
6 20 40
6 21 139
6 22 173
6 23 169
6 24 134
6 25 148
7 8 21
7 9 192
7 10 170
7 11 172
7 12 141
7 13 181
7 14 20
7 15 19
7 16 112
7 17 147
7 18 201
7 19 45
7 20 20
7 21 101
7 22 160
7 23 98
7 24 143
7 25 20
7 26 70
8 9 147
8 10 118
8 11 144
8 12 93
8 13 56
8 14 141
8 15 131
8 16 40
8 17 99
8 18 37
8 19 54
8 20 39
8 21 179
8 22 93
8 23 176
8 24 9
8 25 105
8 26 131
8 27 141
9 10 33
9 11 103
9 12 76
9 13 52
9 14 58
9 15 70
9 16 134
9 17 99
9 18 110
9 19 69
9 20 119
9 21 158
9 22 204
9 23 58
9 24 39
9 25 142
9 26 149
9 27 131
9 28 114
11 12 44
11 13 99
11 14 88
11 15 47
11 16 201
11 17 59
11 18 108
11 19 134
11 20 75
11 21 42
11 22 89
11 23 192
11 24 47
11 25 68
11 26 180
11 27 173
11 28 113
11 29 160
11 30 133
12 13 199
12 14 73
12 15 154
12 16 48
12 17 178
12 18 70
12 19 164
12 20 82
12 21 132
12 22 162
12 23 192
12 24 38
12 25 187
12 26 144
12 27 72
12 28 63
12 29 104
12 30 201
12 31 89
13 14 8
13 15 145
13 16 32
13 17 90
13 18 136
13 19 176
13 20 57
13 21 36
13 22 22
13 23 91
13 24 88
13 25 95
13 26 158
13 27 9
13 28 39
13 29 123
13 30 103
13 31 129
13 32 199
14 15 78
14 16 79
14 17 160
14 18 132
14 19 150
14 20 143
14 21 114
14 22 14
14 23 58
14 24 184
14 25 19
14 26 45
14 27 140
14 28 26
14 29 115
14 30 133
14 31 130
14 32 124
14 33 140
15 16 165
15 17 6
15 18 175
15 19 118
15 20 67
15 21 24
15 22 103
15 23 190
15 24 122
15 25 95
15 26 198
15 27 187
15 28 182
15 29 173
15 30 190
15 31 77
15 32 61
15 33 188
15 34 124
16 17 140
16 18 149
16 19 115
16 20 74
16 21 141
16 22 16
16 23 161
16 24 133
16 25 109
16 26 196
16 27 136
16 28 111
16 29 181
16 30 31
16 31 99
16 32 45
16 33 60
16 34 113
16 35 192
17 18 106
17 19 23
17 20 13
17 21 15
17 22 96
17 23 113
17 24 131
17 25 97
17 26 19
17 27 202
17 28 8
17 29 125
17 30 143
17 31 128
17 32 192
17 33 59
17 34 175
17 35 46
17 36 102
18 19 176
18 20 5
18 21 33
18 22 56
18 23 111
18 24 67
18 25 86
18 26 162
18 27 83
18 28 109
18 29 17
18 30 83
18 31 191
18 32 127
18 33 66
18 34 37
18 35 71
18 36 130
18 37 118
19 20 113
19 21 62
19 22 108
19 23 49
19 24 181
19 25 9
19 26 57
19 27 109
19 28 20
19 29 98
19 30 145
19 31 81
19 32 17
19 33 5
19 34 56
19 35 195
19 36 191
19 37 139
19 38 144
21 22 77
21 23 199
21 24 44
21 25 89
21 26 39
21 27 9
21 28 75
21 29 160
21 30 37
21 31 170
21 32 125
21 33 21
21 34 82
21 35 64
21 36 174
21 37 152
21 38 137
21 39 47
21 40 128
22 23 68
22 24 101
22 25 103
22 26 104
22 27 124
22 28 26
22 29 122
22 30 184
22 31 120
22 32 131
22 33 137
22 34 175
22 35 125
22 36 144
22 37 18
22 38 196
22 39 19
22 40 150
22 41 99
23 24 98
23 25 147
23 26 117
23 27 137
23 28 151
23 29 109
23 30 153
23 31 129
23 32 130
23 33 68
23 34 21
23 35 95
23 36 25
23 37 20
23 38 80
23 39 58
23 40 154
23 41 29
23 42 183
24 25 55
24 26 103
24 27 67
24 28 125
24 29 127
24 30 45
24 31 131
24 32 184
24 33 62
24 34 98
24 35 96
24 36 105
24 37 107
24 38 25
24 39 162
24 40 45
24 41 153
24 42 106
24 43 7
25 26 84
25 27 23
25 28 118
25 29 156
25 30 65
25 31 11
25 32 190
25 33 27
25 34 193
25 35 110
25 36 128
25 37 131
25 38 158
25 39 32
25 40 62
25 41 176
25 42 10
25 43 48
25 44 67
26 27 38
26 28 103
26 29 102
26 30 182
26 31 139
26 32 54
26 33 110
26 34 172
26 35 43
26 36 113
26 37 99
26 38 105
26 39 9
26 40 165
26 41 26
26 42 34
26 43 100
26 44 112
26 45 162
27 28 49
27 29 64
27 30 129
27 31 41
27 32 107
27 33 11
27 34 164
27 35 136
27 36 29
27 37 97
27 38 117
27 39 119
27 40 117
27 41 128
27 42 55
27 43 204
27 44 41
27 45 6
27 46 173
28 29 80
28 30 161
28 31 8
28 32 182
28 33 115
28 34 116
28 35 6
28 36 80
28 37 76
28 38 198
28 39 113
28 40 122
28 41 51
28 42 193
28 43 49
28 44 198
28 45 127
28 46 60
28 47 63
29 30 204
29 31 189
29 32 44
29 33 5
29 34 66
29 35 72
29 36 106
29 37 127
29 38 83
29 39 203
29 40 143
29 41 45
29 42 54
29 43 56
29 44 178
29 45 143
29 46 188
29 47 82
29 48 39
31 32 130
31 33 29
31 34 94
31 35 70
31 36 124
31 37 25
31 38 154
31 39 184
31 40 118
31 41 66
31 42 150
31 43 160
31 44 50
31 45 97
31 46 194
31 47 55
31 48 145
31 49 137
31 50 172
32 33 98
32 34 117
32 35 36
32 36 203
32 37 178
32 38 199
32 39 30
32 40 69
32 41 102
32 42 79
32 43 197
32 44 180
32 45 191
32 46 144
32 47 71
32 48 159
32 49 51
32 50 81
33 34 92
33 35 66
33 36 80
33 37 186
33 38 196
33 39 162
33 40 134
33 41 27
33 42 25
33 43 20
33 44 60
33 45 34
33 46 183
33 47 40
33 48 110
33 49 70
33 50 182
34 35 185
34 36 38
34 37 14
34 38 83
34 39 10
34 40 203
34 41 84
34 42 89
34 43 99
34 44 71
34 45 37
34 46 86
34 47 181
34 48 146
34 49 127
34 50 136
35 36 167
35 37 38
35 38 158
35 39 9
35 40 100
35 41 114
35 42 23
35 43 164
35 44 44
35 45 17
35 46 9
35 47 12
35 48 165
35 49 58
35 50 189
36 37 26
36 38 133
36 39 201
36 40 160
36 41 101
36 42 163
36 43 5
36 44 26
36 45 9
36 46 191
36 47 7
36 48 74
36 49 203
36 50 191
37 38 106
37 39 153
37 40 181
37 41 196
37 42 171
37 43 170
37 44 82
37 45 123
37 46 136
37 47 129
37 48 189
37 49 123
37 50 14
38 39 182
38 40 83
38 41 166
38 42 36
38 43 104
38 44 43
38 45 165
38 46 201
38 47 101
38 48 35
38 49 68
38 50 128
39 40 179
39 41 133
39 42 24
39 43 133
39 44 92
39 45 165
39 46 93
39 47 53
39 48 198
39 49 21
39 50 122
41 42 129
41 43 174
41 44 124
41 45 100
41 46 112
41 47 182
41 48 190
41 49 43
41 50 124
42 43 107
42 44 143
42 45 132
42 46 36
42 47 173
42 48 28
42 49 101
42 50 95
43 44 33
43 45 10
43 46 147
43 47 99
43 48 183
43 49 47
43 50 29
44 45 123
44 46 59
44 47 132
44 48 62
44 49 112
44 50 31
45 46 80
45 47 87
45 48 102
45 49 51
45 50 193
46 47 96
46 48 181
46 49 192
46 50 83
47 48 176
47 49 36
47 50 148
48 49 42
48 50 97
49 50 90
50
