35 575
1 2 7
1 3 66
1 4 43
1 5 50
1 6 59
1 7 79
1 8 31
1 9 67
1 10 39
1 11 23
1 12 79
1 13 69
1 14 28
1 15 71
1 16 6
1 17 52
1 18 35
1 19 27
1 20 34
1 21 22
1 22 42
1 23 73
1 24 61
1 25 56
1 26 62
1 27 59
1 28 27
1 29 19
1 30 18
1 31 18
1 32 41
1 33 16
1 34 36
2 3 34
2 4 58
2 5 38
2 6 20
2 7 67
2 8 58
2 9 14
2 10 68
2 11 78
2 12 30
2 13 8
2 14 51
2 15 78
2 16 25
2 17 46
2 18 26
2 19 21
2 20 11
2 21 22
2 22 46
2 23 60
2 24 21
2 25 8
2 26 41
2 27 66
2 28 74
2 29 64
2 30 5
2 31 32
2 32 36
2 33 29
2 34 7
2 35 26
3 4 75
3 5 63
3 6 65
3 7 35
3 8 45
3 9 22
3 10 55
3 11 56
3 12 18
3 13 67
3 14 20
3 15 64
3 16 37
3 17 46
3 18 24
3 19 28
3 20 46
3 21 11
3 22 20
3 23 7
3 24 20
3 25 44
3 26 31
3 27 23
3 28 50
3 29 22
3 30 10
3 31 56
3 32 69
3 33 35
3 34 26
3 35 35
4 5 5
4 6 37
4 7 68
4 8 61
4 9 72
4 10 5
4 11 58
4 12 34
4 13 8
4 14 37
4 15 9
4 16 36
4 17 16
4 18 69
4 19 23
4 20 48
4 21 66
4 22 26
4 23 67
4 24 26
4 25 36
4 26 15
4 27 29
4 28 53
4 29 26
4 30 79
4 31 26
4 32 47
4 33 67
4 34 45
4 35 49
5 6 72
5 7 28
5 8 36
5 9 12
5 10 31
5 11 66
5 12 41
5 13 21
5 14 21
5 15 47
5 16 51
5 17 31
5 18 52
5 19 35
5 20 8
5 21 11
5 22 7
5 23 67
5 24 27
5 25 25
5 26 68
5 27 25
5 28 43
5 29 54
5 30 74
5 31 58
5 32 26
5 33 62
5 34 61
5 35 79
6 7 31
6 8 68
6 9 23
6 10 77
6 11 43
6 12 62
6 13 41
6 14 22
6 15 22
6 16 9
6 17 36
6 18 66
6 19 61
6 20 16
6 21 78
6 22 23
6 23 47
6 24 52
6 25 53
6 26 65
6 27 37
6 28 67
6 29 65
6 30 46
6 31 35
6 32 77
6 33 11
6 34 24
6 35 78
7 8 58
7 9 50
7 10 25
7 11 72
7 12 76
7 13 47
7 14 35
7 15 53
7 16 5
7 17 37
7 18 42
7 19 20
7 20 36
7 21 63
7 22 77
7 23 20
7 24 51
7 25 7
7 26 28
7 27 14
7 28 20
7 29 55
7 30 79
7 31 18
7 32 72
7 33 16
7 34 55
7 35 27
8 9 34
8 10 35
8 11 46
8 12 75
8 13 34
8 14 25
8 15 76
8 16 21
8 17 17
8 18 11
8 19 9
8 20 45
8 21 24
8 22 60
8 23 32
8 24 46
8 25 47
8 26 75
8 27 11
8 28 59
8 29 79
8 30 27
8 31 31
8 32 46
8 33 37
8 34 15
8 35 59
9 10 77
9 11 11
9 12 44
